id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,GAL_LONG,GAL_LAT,_r,recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,u_e_Vmag,Bmag,e_Bmag,u_e_Bmag,g'mag,e_g'mag,u_e_g'mag,r'mag,e_r'mag,u_e_r'mag,i'mag,e_i'mag,u_e_i'mag,Separation
spec-56582-VB012N41V1_sp07-208.fits,4578.24690336,2.67468078974,0.3069420412,0.102782424161,15.8297599778,0.0385082506096,0.0198313014838,0.0110758240999,0.4353726167794729,14.208278,39.289719,41.540000915527344,270998,124.07082285826225,-23.570097552076934,4.3e-05,2615569,14.208287,39.289677,0.105,0.108,20151768,5,25,1.124,0.055,12.648,0.041,0,13.772,0.037,0,13.195,0.043,0,12.286,0.031,0,11.945,0.045,0,4.257369374557384e-05
spec-56199-EG010159N023133V_1_sp11-118.fits,4646.98705032,2.71715885401,0.100529473051,0.050042622889,9.13961410664,0.02232969525,0.0116006302472,0.00618612350775,1.1669511747407189,15.774823,4.579436,90.37000274658203,82139,128.44777019926505,-58.16736615635201,2.1e-05,16857818,15.774844,4.579435,0.097,0.094,20120277,4,20,1.146,0.09,10.892,0.082,0,12.037,0.039,0,11.469,0.05,0,10.552,0.114,0,10.185,0.058,0,2.095683174319574e-05
spec-56559-EG011442N065942V01_sp08-073.fits,4820.96334085,2.6096435291,-0.289214594657,0.085621993981,4.39317738867,0.0108017700037,0.00557002317692,0.00322898273662,2.378408475943662,19.955694,6.569858,479.260009765625,245061,135.4808448497637,-55.60877006376202,2.6e-05,16889563,19.955699,6.569832,0.508,0.087,20120278,3,15,1.105,0.03,9.659,0.0,1,10.764,0.03,0,10.205,0.072,0,9.353,0.0,1,9.033,0.0,1,2.6470223536654328e-05
spec-56640-VB021N40V2_sp09-215.fits,4355.33889424,2.00709016785,-0.0904393673207,0.135607791608,8.34503712319,0.0224067713623,0.0123990986499,0.00752699398638,0.931174219092423,22.662834,40.812172,71.91000366210938,342441,130.8906944205927,-21.45279892083968,5.1e-05,2174857,22.662802,40.812127,0.073,0.101,20121876,2,10,1.202,0.016,12.753,0.0,0,13.955,0.016,0,13.278,0.01,0,12.317,0.021,0,11.858,0.06,0,5.1103617237190926e-05
spec-56670-HD030004N551117V01_sp15-122.fits,4878.18819018,2.52550594428,-0.322647338596,0.091282742748,11.9744959481,0.0306245989962,0.0151356133518,0.00729918688792,0.6656563181893593,45.255958,56.011756,88.62999725341797,385563,140.37601630130547,-2.407671562426207,0.000122,3799512,45.256042,56.011643,0.272,0.387,20122421,3,14,1.445,0.047,12.225,0.042,0,13.67,0.022,0,12.807,0.07,0,11.616,0.038,0,10.937,0.061,0,0.0001223685096955194
spec-56550-VB052N35V1_sp03-047.fits,4908.35218297,3.33357134515,-0.265311610274,0.191363399532,10.9695564259,0.019313338374,0.0123740669263,0.00620392245462,0.702519908006135,51.209818,35.400509,143.33999633789062,243368,155.0064102477486,-17.744578247544712,6.3e-05,1356604,51.209849,35.400451,0.51,0.709,20151669,3,16,1.157,0.057,12.682,0.05,0,13.839,0.027,0,13.256,0.043,0,12.281,0.07,0,11.92,0.049,0,6.32654156792612e-05
spec-56258-VB054N40V1_sp04-036.fits,4674.06190088,2.32753873211,0.316127018294,0.216464795141,17.5100408091,0.0457248809277,0.0212684654916,0.0102872495038,0.8572795050583982,54.309395,40.504204,34.38999938964844,115758,153.9246884079605,-12.18413894520488,4e-05,1472173,54.309427,40.504172,0.314,0.153,20151780,6,30,1.385,0.097,12.831,0.055,0,14.217,0.08,0,13.517,0.068,0,12.377,0.092,0,11.965,0.05,0,4.019975768836571e-05
spec-56559-HD035343N575830V01_sp16-160.fits,4811.88207764,2.65695556986,0.0584704429483,0.0960810109098,14.3099604818,0.0347061133722,0.017327447065,0.00695270222811,0.6412788362001697,56.245096,59.498661,53.36000061035156,245603,143.3809686718174,3.7036916364657624,9e-06,3963966,56.245078,59.49866,0.134,0.046,20122496,3,12,,,12.6,0.014,0,,,,13.323,0.016,0,12.005,0.05,0,11.406,0.051,0,9.190618404691951e-06
spec-56559-HD035343N575830V01_sp16-249.fits,4627.02622988,2.07338774026,-0.383788972625,0.155310436254,32.077409112,0.0828530109489,0.0447887072191,0.0153409547711,0.40776255018266166,56.466724,59.960943,17.030000686645508,245610,143.1848336256291,4.137161263153724,1.3e-05,3964937,56.466704,59.960951,0.087,0.161,20152495,5,14,,,13.618,0.025,0,,,,14.539,0.0,0,12.9,0.057,0,12.071,0.121,0,1.281546750070055e-05
spec-56618-VB057N34V2_sp04-014.fits,4710.35808132,2.88610673707,0.0407050909671,0.376106534765,8.06243951187,0.0192048591022,0.00932606448239,0.00301241004817,4.722848584140603,57.109401,35.02317,100.66999816894531,317058,159.2201265252401,-15.092002825522268,8.5e-05,1340515,57.109346,35.023098,0.317,0.427,20121671,4,19,1.462,0.053,13.599,0.042,0,15.061,0.032,0,14.301,0.026,0,13.082,0.064,0,12.61,0.057,0,8.492736643571854e-05
spec-56559-HD035343N575830V01_sp11-238.fits,4956.39705491,2.80834800979,0.078618995769,0.0379175487774,14.9277631228,0.0367607639246,0.0172985947989,0.00739374942448,0.5624190777963225,58.732709,59.791753,57.209999084472656,245474,144.17875929002292,4.720068871677948,5e-06,3955067,58.7327,59.791753,0.064,0.078,20122496,3,12,,,12.267,0.03,0,,,,13.097,0.013,0,11.64,0.052,0,10.977,0.053,0,4.528299083932488e-06
spec-56618-VB057N34V2_sp07-208.fits,4038.53650336,1.38147240676,-0.313308705606,0.0775164862157,17.3980086866,0.0469706293703,0.0283312682967,0.0132384827937,0.5539176762883695,59.218706,32.993679,24.200000762939453,317232,161.9681963832014,-15.477131025372929,2.7e-05,1328368,59.218691,32.993703,0.201,0.244,20121560,16,73,1.72,0.18,13.381,0.074,0,15.101,0.164,0,14.19,0.106,0,12.751,0.072,0,12.236,0.363,0,2.7097610684202478e-05
spec-56559-HD035343N575830V01_sp12-236.fits,4808.67786682,2.4404099767,-0.529317689449,0.164465750622,29.5229985273,0.0708168276365,0.0377463161028,0.015754202944,0.3214686333094761,59.867876,59.992449,35.63999938964844,245511,144.48398479907664,5.241665332517287,1.4e-05,3959860,59.867894,59.992438,0.075,0.04,20122496,3,12,,,12.967,0.024,0,,,,13.718,0.0,0,12.444,0.052,0,11.935,0.062,0,1.4213972306868829e-05
spec-56559-HD035343N575830V01_sp07-187.fits,4459.61904691,2.04895195535,-0.458055185374,0.0137203427306,21.4114262862,0.0557045702639,0.0317088599314,0.0111159175507,0.6118854022420525,60.9182822,56.6506689,30.110000610351562,245362,147.10601396032183,3.0892088307728156,7.4e-05,3905871,60.918254,56.650741,0.238,0.17,20122424,4,20,1.586,0.089,13.401,0.08,0,14.987,0.038,0,14.109,0.017,0,12.706,0.04,0,11.928,0.049,0,7.374784206676408e-05
spec-56640-GAC064N42V1_sp10-184.fits,4770.09978471,2.66872883753,-0.258619865135,0.073440087477,18.7091471114,0.0436728033642,0.0234119042426,0.0105622339657,0.5121882526472253,61.645747,41.231937,45.439998626708984,339732,157.77960643236784,-8.073738675502094,8.7e-05,1392708,61.645855,41.231968,0.203,0.45,20121887,3,15,1.82,0.287,12.775,0.077,0,14.595,0.276,0,13.75,0.321,0,12.172,0.046,0,11.518,0.092,0,8.693601782684168e-05
spec-56611-GAC061N46V1_sp04-096.fits,5019.67051871,2.67509716622,-0.08753540737,0.050693498751,11.1398686833,0.0279246152142,0.0132116929808,0.00482389321349,0.9840818237982955,62.072144,46.547926,92.27999877929688,302316,154.3956474622786,-3.9465882291858723,0.000271,1445358,62.072305,46.547679,0.294,0.362,20122086,2,10,1.678,0.011,13.111,0.008,0,14.789,0.008,0,13.897,0.018,0,12.494,0.01,0,11.763,0.04,0,0.00027068358697412075
spec-56559-HD035343N575830V01_sp06-103.fits,4141.28535777,1.65982199373,-0.232719537234,0.0738478285174,22.6092179027,0.0580719742408,0.0352067403235,0.013835864367,0.47039368746635457,62.731047,57.095183,16.8700008392334,245319,147.54093232340188,4.084456381115733,3e-05,3909581,62.731042,57.095213,0.209,0.305,20122425,2,10,2.039,0.079,13.396,0.079,0,15.436,0.01,0,14.302,0.006,0,12.525,0.006,0,11.588,0.089,0,3.0122713581536705e-05
spec-55961-GAC_064N42_V3_sp04-070.fits,4263.05401213,1.76707202181,-0.553329786615,0.0907947150217,41.2025917546,0.105577690008,0.0628304732691,0.0238560723676,0.2818901398382222,64.750895,42.373316,12.109999656677246,48098,158.6737279673929,-5.650607479797066,4.2e-05,1402952,64.750838,42.373318,0.581,0.607,20121888,3,15,1.985,0.043,13.939,0.039,0,15.923,0.019,0,14.889,0.072,0,13.188,0.031,0,12.334,0.019,0,4.215731743883613e-05
spec-55961-GAC_064N42_V2_sp06-137.fits,4537.05151609,2.06840339639,-0.0854859067261,0.0324135799834,67.0074056889,0.185690178473,0.0949489647301,0.0366483567939,0.12587154213044716,67.839538,41.79923,8.890000343322754,47731,160.68980514927824,-4.4056864717018955,6.8e-05,1152164,67.839628,41.799238,0.297,0.556,20151889,3,15,1.637,0.043,13.804,0.015,0,15.441,0.04,0,14.588,0.031,0,13.239,0.029,0,12.614,0.037,0,6.756890403305416e-05
spec-56700-GAC071N55V2_sp02-076.fits,4204.08671817,1.43799610079,-0.643519742394,0.189131276225,23.5433196515,0.0575326331332,0.0375942721915,0.0138387285023,0.7603473528092068,68.577676,53.880627,17.520000457763672,415142,152.16493525133316,4.177101189604992,1.2e-05,1864254,68.577659,53.880621,0.184,0.181,20152266,5,25,2.096,0.083,13.419,0.064,0,15.514,0.052,0,14.455,0.05,0,12.618,0.043,0,11.701,0.074,0,1.167990122104339e-05
spec-56700-GAC071N55V1_sp10-247.fits,4704.53770314,2.48481328635,-0.111673951931,0.0422743448744,26.8873293959,0.0647260481511,0.0343718705168,0.0111098896877,0.5990075810941987,68.765943,55.420726,19.920000076293945,415037,151.0969578961306,5.295583189819757,8.5e-05,1897918,68.766092,55.420719,0.133,0.116,20152348,5,23,1.691,0.058,13.25,0.051,0,14.941,0.027,0,14.097,0.005,0,12.653,0.037,0,11.951,0.048,0,8.485357948219157e-05
spec-56700-GAC071N55V1_sp05-033.fits,4625.26549293,1.91144979048,0.245713693743,0.0705453520694,16.3833774102,0.0485548170427,0.0235680765241,0.00950390437638,1.4181679077928333,71.014003,54.534357,19.399999618530273,414917,152.62190743003717,5.6771186516620356,0.000156,1865465,71.014152,54.534487,0.375,0.56,20152349,8,38,1.934,0.092,13.628,0.041,0,15.562,0.082,0,14.54,0.031,0,12.908,0.04,0,12.115,0.054,0,0.000156121497944289
