element,S1131,S1131_error,S1004,S1004_error,S1065,S1065_error,S458,S458_error,S1673,S1673_error,S1814,S1814_error
C(CH),-0.73,0.18,-0.55, nan,-0.78, nan,-0.95, nan,-1.00, nan,-0.77, nan
Na I ,-0.05, nan, 0.08,0.02,-0.02, nan, 0.10,0.16, 0.44,0.08,-0.01, nan
Na I ,  nan, nan,  nan, nan,  nan, nan, 0.04,0.12,  nan, nan,  nan, nan
Mg I ,-0.51,0.19,-0.16,0.29,-0.73,0.14,-0.42,0.14,-0.86,0.17,  nan, nan
Al I , 0.43, nan, 0.70, nan,  nan, nan, 0.51, nan,  nan, nan,  nan, nan
Si I , 0.59,0.12, 0.42,0.03, 0.50,0.20, 0.61,0.12, 0.79,0.17, 0.43,0.16
K I  , 1.15, nan, 1.19, nan, 1.07, nan, 1.15, nan, 1.55, nan, 0.53, nan
Ca I , 0.23,0.17, 0.33,0.16, 0.28,0.15, 0.28,0.17, 0.37,0.22, 0.11,0.15
Sc II, 0.40,0.09, 0.45,0.12, 0.53,0.09, 0.40,0.14, 0.89,0.23, 0.19,0.13
Ti I , 0.08,0.13, 0.07,0.07, 0.14,0.15, 0.00,0.14, 0.00,0.10, 0.04,0.17
Ti II, 0.38,0.26, 0.09,0.30, 0.30,0.07, 0.15,0.25,-0.01,0.29, 0.43,0.16
V I  ,-0.02,0.12,-0.01, nan, 0.29,0.17, 0.22,0.22, 0.08, nan,-0.17,0.12
Cr I ,-0.24,0.15,-0.26,0.07,-0.26,0.20,-0.35,0.11,-0.36,0.09,-0.35,0.17
Mn I ,-0.34,0.12,-0.38,0.09,-0.32,0.08,-0.33,0.09,-0.47,0.20,-0.35,0.07
Fe I ,-2.03,0.15,-2.08,0.14,-2.03,0.15,-2.08,0.15,-2.18,0.11,-2.19,0.14
Fe II,-0.04,0.20, 0.02,0.23,-0.07,0.16,-0.04,0.26, 0.30,0.27, 0.05,0.21
Co I , 0.11,0.12, 0.32,0.22, 0.25,0.06, 0.01, nan, 0.13, nan,  nan, nan
Ni I ,-0.04,0.18,-0.04,0.22, 0.00,0.21,-0.08,0.25,-0.08,0.18,-0.08,0.20
Cu I ,-0.70, nan,-0.50,0.20,-0.51, nan,-0.61, nan,-0.68, nan,-0.60, nan
Zn I ,-0.13,0.12,-0.04,0.01,-0.18,0.02,-0.07,0.08, 0.20,0.22,-0.13,0.30
Sr I ,  nan, nan,  nan, nan,-0.56, nan,  nan, nan,  nan, nan,  nan, nan
Sr II,-0.37, nan,  nan, nan,  nan, nan,  nan, nan,  nan, nan,  nan, nan
Y II ,-0.41,0.10,-0.38,0.11,-0.53,0.08,-0.39,0.19,-0.20,0.06,-0.37,0.12
Ba II,-0.04,0.05,-0.17,0.19,-0.28,0.09,-0.24,0.17,-0.14,0.17,-0.08,0.18
La II, 0.04, nan,  nan, nan,  nan, nan,  nan, nan,  nan, nan,  nan, nan
Ce II,-0.14,0.13,-0.26,0.23,-0.41,0.05,-0.34,0.19,-0.57,0.09,-0.56,0.10
Nd II,-0.12,0.21, 0.17,0.03,-0.01,0.05,  nan, nan,  nan,0.06,-0.04,0.09
Eu II, 0.27,0.28, 0.68, nan,-0.14, nan, 0.48,0.21,-0.20, nan, 0.00,0.11
