id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex,GAL_LONG,GAL_LAT,_r,recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,u_e_Vmag,Bmag,e_Bmag,u_e_Bmag,g'mag,e_g'mag,u_e_g'mag,r'mag,e_r'mag,u_e_r'mag,i'mag,e_i'mag,u_e_i'mag,Separation
spec-55863-B6302_sp15-042.fits,4004.7626477,1.1231177835,-0.577926004116,0.233997175247,20.8117740629,0.0545351545258,0.0357013881078,0.013958583204,2.7338900009956837,357.426356,30.115,20.010000228881836,1674,107.37308208000235,-30.884812265476878,1.45E-4,18159784,357.426515,30.114954,0.741,1.53,20121540,2,8,1.272,0.014,15.562,0.011,0,16.834,0.008,0,16.225,0.071,0,14.956,0.073,0,,,,1.4502676973093402E-4
spec-55932-GAC_104N11_V1_sp16-164.fits,4896.5889061,2.61416213214,-0.708682832753,0.0173427702971,121.627747688,0.287880973635,0.150048160665,0.0414802080863,0.17767116483181297,103.39265,13.277721,7.329999923706055,24740,201.30366086145585,6.475986155822224,6.2E-5,24344868,103.392587,13.277732,0.341,0.276,20150575,5,25,0.981,0.055,14.254,0.032,0,15.235,0.045,0,14.692,0.019,0,13.952,0.02,0,13.648,0.024,0,6.229477833666527E-5
spec-55938-B5593805_sp07-161.fits,4273.68303491,1.13182310386,-1.34973129397,0.169453459999,138.617069826,0.344880908071,0.24435057554,0.0948117188426,0.08905807201764371,170.79063,26.215551,3.190000057220459,25067,210.54625265598682,70.283541774512,1.14E-4,27696308,170.790613,26.215664,0.483,0.772,20121363,3,11,1.528,0.061,14.789,0.0,0,16.316,0.061,0,15.588,0.105,0,14.295,0.021,0,13.769,0.017,0,1.1402457449450292E-4
spec-55940-B5594006_sp07-117.fits,4658.71345521,2.90239470785,-0.500545240592,0.0156700381543,135.854273518,0.265415782592,0.163927709391,0.0528759368719,0.08105810473228346,169.215461,25.510708,6.579999923706055,31470,211.93190900997692,68.77647716200381,1.93E-4,27700860,169.21525,25.510738,0.364,0.832,20121241,2,10,0.919,0.075,15.412,0.063,0,16.332,0.041,0,15.752,0.028,0,15.118,0.014,0,14.775,0.091,0,1.9277709996666913E-4
spec-55940-GAC_071N52_V3_sp12-022.fits,4451.88534951,1.81386396795,-0.191736795946,0.0675458150564,41.2106180404,0.111310871132,0.0582890600368,0.0187805326081,0.374105950479452,73.603608,53.774603,6.829999923706055,33817,154.1822443509626,6.361661220981273,4.2E-5,1859034,73.603538,53.77461,0.553,0.359,20152267,4,19,2.09,0.124,13.945,0.038,0,16.035,0.118,0,14.98,0.015,0,13.084,0.034,0,12.111,0.062,0,4.195550123216514E-5
spec-55940-GAC_103N06_V3_sp12-085.fits,5070.56272,3.2990089448,-0.613768280361,0.100177644732,125.50920026,0.19020179995,0.138186040658,0.0575901520905,0.17716822280841388,104.74085,8.2874616,12.800000190734863,35949,206.38710405953955,5.430528220987753,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-55954-GAC_089N11_V1_sp12-045.fits,4858.84461052,2.56506645168,-0.302411223826,0.0980735053358,22.8404113709,0.0563236892657,0.0280951609695,0.0127197055419,0.23938740064299913,90.428357,13.389279,45.40999984741211,40578,195.31992348132255,-4.63376286444919,2.0E-5,24153295,90.428349,13.389297,0.579,0.216,20120703,9,35,1.172,0.04,12.997,0.036,0,14.169,0.018,0,13.54,0.027,0,12.602,0.073,0,12.123,0.061,0,1.9610408942289086E-5
spec-55960-GAC_071N47_V2_sp12-102.fits,4717.23029736,2.54611906104,-0.337242350326,0.108714137617,125.286010627,0.277942360937,0.156416929164,0.0498481361097,0.1135933524597801,73.937244,49.006493,6.590000152587891,45688,158.04969606263947,3.5446602140734957,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-55961-GAC_064N42_V1_sp14-214.fits,4075.37033589,1.54420509257,-0.317480951268,0.0785307761742,37.8130905542,0.0935201026843,0.0572620813088,0.0198124950107,0.2777071560461586,61.9151,42.62347,9.399999618530273,47465,156.97869729282743,-6.913569196105309,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-55961-GAC_064N42_V2_sp06-137.fits,4537.05151609,2.06840339639,-0.0854859067261,0.0324135799834,67.0074056889,0.185690178473,0.0949489647301,0.0366483567939,0.12587154213044716,67.839538,41.79923,8.890000343322754,47731,160.68980514927824,-4.4056864717018955,6.8E-5,1152164,67.839628,41.799238,0.297,0.556,20151889,3,15,1.637,0.043,13.804,0.015,0,15.441,0.04,0,14.588,0.031,0,13.239,0.029,0,12.614,0.037,0,6.756890403305416E-5
